athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
739576,60 meter,True,2024,12,"9,67","+0,0",2-h4,IL Koll,2024-05-05,Sportsplassen Bækkelaget,"Bækkelaget, Bækkelagets Maileker 2024","2024-05-05|Sportsplassen Bækkelaget|Bækkelaget, Bækkelagets Maileker 2024",True,
739576,60 meter,True,2024,12,"9,82","-0,2",3-h2,IL Koll,2024-05-01,Ås Stadion,"Ås, Smart Energi Åpningsstevnet","2024-05-01|Ås Stadion|Ås, Smart Energi Åpningsstevnet",True,
739576,60 meter,True,2024,12,"9,82","-1,8",3-h1,IL Koll,2024-08-24,Sportsplassen Bækkelaget,"Bækkelaget, Bækkelagets mangekampstevne 10-14 år","2024-08-24|Sportsplassen Bækkelaget|Bækkelaget, Bækkelagets mangekampstevne 10-14 år",True,
739576,60 meter,True,2024,12,"9,94","-0,7",5,IL Koll,2024-04-27,Sentralidrettsanlegget i Nittedal,"Nittedal, Sesongstartstevne 2024","2024-04-27|Sentralidrettsanlegget i Nittedal|Nittedal, Sesongstartstevne 2024",True,
739576,60 meter,True,2023,11,"9,73","+0,2",2-h1,IL Koll,2023-06-24,Stampesletta,"Lillehammer, Veidekkelekene 2023","2023-06-24|Stampesletta|Lillehammer, Veidekkelekene 2023",True,
739576,60 meter,True,2023,11,"9,83","+0,8",4-h2,IL Koll,2023-09-16,Stovnerbanen,"Oslo/St, Kretsmesterskap i Friidrett Oslo & Akershus","2023-09-16|Stovnerbanen|Oslo/St, Kretsmesterskap i Friidrett Oslo & Akershus",True,
739576,60 meter,True,2023,11,"9,94","+1,1",8-fi,IL Koll,2023-06-24,Stampesletta,"Lillehammer, Veidekkelekene 2023","2023-06-24|Stampesletta|Lillehammer, Veidekkelekene 2023",True,
739576,60 meter,True,2023,11,"9,95","-0,4",1-h2,IL Koll,2023-09-23,Norges Idrettshøyskole,"Oslo/NIH, Klubbmesterskap","2023-09-23|Norges Idrettshøyskole|Oslo/NIH, Klubbmesterskap",True,
739576,60 meter,True,2023,11,"9,98","+0,4",2-h1,IL Koll,2023-06-17,Bærum Idrettspark,"Bærum, Tyrvinglekene 2023","2023-06-17|Bærum Idrettspark|Bærum, Tyrvinglekene 2023",True,
739576,60 meter,True,2023,11,"9,98","+1,9",5,IL Koll,2023-09-25,Berger Stadion,"Nesodden, PLUGGEN elektro sprintstevne","2023-09-25|Berger Stadion|Nesodden, PLUGGEN elektro sprintstevne",True,
739576,60 meter,True,2023,11,"10,03","+1,7",6,IL Koll,2023-08-19,Sentralidrettsanlegget i Nittedal,"Nittedal, Nittedalslekene 2023","2023-08-19|Sentralidrettsanlegget i Nittedal|Nittedal, Nittedalslekene 2023",True,
